128	573	1069
129	574	1070
130	575	1071
131	576	1072
132	577	1073
145	612	1096
146	613	1097
147	614	1098
148	615	1099
149	616	1100
150	617	1101
151	618	1102
152	619	1103	1256
153	620	1104	1257
154	621	1105	1258
155	622	1259
19	156	623	1107	1260
20	157	624	1108	1261
21	158	625	1109	1262
159	1110	1263
23	160	627	1087	1111	1264
24	161	628	1088	1112	1265
25	162	595	629	1089	1113	1266
26	139	163	596	630	1090	1114	1267
27	140	164	597	631	1091	1115	1268
28	141	165	598	632	1092	1116	1269
29	142	166	599	633	1093	1117	1270
30	143	167	600	634	1094	1118	1271
31	144	168	601	635	1095	1119	1272
32	145	602	1096	1120	1273
33	146	603	1097	1121	1274
34	147	604	1098	1122	1275
35	148	605	1099	1276
36	149	606	1100	1277
37	150	607	1101	1278
38	151	608	1102	1279
152	1103
153	610	1104	1281
154	611	1105	1282
612	1106	1283
156	613	1107
157	614	1108
158	615	1109
159	616	1110
160	617	1111
161	618	1112
176	653	1133
177	654	1134
178	655	1135
179	656	1136
180	657	1137
181	658	1138
182	659	1139
183	660	1140
184	661	1141	1284
185	662	1285
39	186	663	1143	1286
40	187	664	1144	1287
41	188	665	1145	1288
42	189	666	1146	1289
43	190	667	1147	1290
191	1148	1291
45	192	669	1125	1149	1292
46	169	193	636	670	1126	1150	1293
47	170	194	637	671	1127	1151	1294
48	171	195	638	672	1128	1152	1295
49	172	196	639	673	1129	1153	1296
50	173	197	640	674	1130	1154	1297
51	174	198	641	675	1131	1155	1298
52	175	199	642	676	1132	1156	1299
53	176	200	643	1133	1157	1300
54	177	644	1134	1158	1301
55	178	645	1135	1302
56	179	646	1136	1303
57	180	647	1137	1304
58	181	648	1138	1305
59	182	649	1139	1306
60	183	650	1140	1307
184	1141
652	1142	1309
186	653	1143
187	654	1144
188	655	1145
189	656	1146
190	657	1147
191	658	1148
192	659	1149
209	694	1168
210	695	1169
211	696	1170
212	697	1171
213	698	1172
214	699	1173
215	700	1174
216	701	1175
217	702
61	218	703	1177	1310
62	219	704	1178	1311
63	220	705	1179	1312
64	221	706	1180	1313
65	222	707	1181	1314
66	223	708	1182	1315
67	224	709	1183	1316
201	225	1184	1317
69	202	226	677	711	1161	1185	1318
70	203	227	678	712	1162	1186	1319
71	204	228	679	713	1163	1187	1320
72	205	229	680	714	1164	1188	1321
73	206	230	681	715	1165	1189	1322
74	207	231	682	716	1166	1190	1323
75	208	232	683	717	1167	1191	1324
76	209	233	684	1168	1192	1325
77	210	234	685	1169	1326
78	211	686	1170	1327
79	212	687	1171	1328
80	213	688	1172	1329
81	214	689	1173	1330
82	215	690	1174	1331
83	216	691	1175	1332
84	692	1176	1333
218	1177
219	694	1178
220	695	1179
221	696	1180
222	697	1181
223	698	1182
224	699	1183
225	700	1184
244	735	1201
245	736	1202
246	737	1203
247	738	1204
248	739	1205
249	740	1206
250	741	1207
251	742
85	252	743	1209
86	253	744	1210
87	254	745	1211	1334
88	255	746	1212	1335
89	256	747	1213	1336
90	257	748	1214	1337
91	258	749	1215	1338
92	235	259	750	1216	1339
93	236	260	751	1217	1340
237	261	718	1218	1341
95	238	262	719	753	1195	1219	1342
96	239	263	720	754	1196	1220	1343
97	240	264	721	755	1197	1221	1344
98	241	265	722	756	1198	1222	1345
99	242	266	723	757	1199	1223	1346
100	243	267	724	758	1200	1224	1347
101	244	268	725	1201	1348
102	245	269	726	1202	1349
103	246	270	727	1203	1350
104	247	728	1204	1351
105	248	729	1205	1352
106	249	730	1206	1353
107	250	731	1207	1354
108	732	1208	1355
109	252	733	1209
110	253	734	1210
254	1211
255	736	1212
256	737	1213
257	738	1214
258	739	1215
259	740	1216
260	741	1217
281	776	1232
282	777	1233
283	778	1234
284	779	1235
285	780	1236
286	781	1237
287	782
111	288	783	1239
112	289	784	1240
113	290	785	1241
114	291	786	1242
115	292	787	1243	1356
116	293	788	1244	1357
117	294	789	1245	1358
118	271	295	790	1246	1359
119	272	296	791	1247	1360
120	273	297	792	1248	1361
121	274	298	759	793	1249	1362
275	299	760	1250	1363
123	276	300	761	795	1227	1251	1364
124	277	301	762	796	1228	1252	1365
